Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2012-03-09,58.76,3.669,10331.04,151.88,6.0,671.43,5509.84,221.0591887,7.348,False
1,2012-03-16,64.74,3.734,4298.16,7.5,2.02,2724.65,2017.69,221.2118132,7.348,False
1,2012-03-23,65.93,3.787,6118.56,9.48,4.97,426.72,3657.22,221.2864126,7.348,False
1,2012-03-30,67.61,3.845,10309.58,0.5,10.25,1654.17,2642.78,221.3610119,7.348,False
1,2012-04-06,70.43,3.891,10121.97,,77.98,3750.59,4510.72,221.4356112,7.143,False
1,2012-04-13,69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,False
1,2012-04-20,66.76,3.877,2230.8,612.02,19.75,275.13,5747.1,221.5640737,7.143,False
1,2012-04-27,67.23,3.814,3221.25,,35.49,577.14,6222.25,221.6179368,7.143,False
1,2012-05-04,75.55,3.749,21290.13,,69.89,4977.35,3261.04,221.6718,7.143,False
1,2012-05-11,73.77,3.688,8351.4,,10.52,2443.14,3127.88,221.7256632,7.143,False
1,2012-05-18,70.33,3.63,6154.14,,45.11,1675.49,5508.18,221.742674,7.143,False
1,2012-05-25,77.22,3.561,4039.39,,745.19,1429.96,3631.13,221.744944,7.143,False
1,2012-06-01,77.95,3.501,6086.21,12.0,370.51,148.75,3690.85,221.7472139,7.143,False
1,2012-06-08,78.3,3.452,8813.81,116.8,64.55,2652.04,7161.91,221.7494839,7.143,False
1,2012-06-15,79.35,3.393,5621.99,109.6,0.25,2420.28,3083.26,221.7626421,7.143,False
1,2012-06-22,78.39,3.346,8624.56,171.25,3.05,2524.07,7063.68,221.8030211,7.143,False
1,2012-06-29,84.88,3.286,3965.73,161.6,,435.99,4212.97,221.8434,7.143,False
1,2012-07-06,81.57,3.227,12218.76,94.4,192.83,4066.01,6149.04,221.8837789,6.908,False
1,2012-07-13,77.12,3.256,7218.13,45.2,36.24,3909.38,2596.37,221.9241579,6.908,False
1,2012-07-20,80.42,3.311,3213.0,313.72,9.53,2262.02,3228.19,221.9327267,6.908,False
1,2012-07-27,82.66,3.407,7146.9,389.02,1.59,10267.54,4325.19,221.9412954,6.908,False
1,2012-08-03,86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.908,False
1,2012-08-10,85.05,3.494,11436.22,245.0,6.85,6964.26,4836.22,221.9584329,6.908,False
1,2012-08-17,84.85,3.571,3662.06,137.86,4.84,2752.2,3446.15,222.0384109,6.908,False
1,2012-08-24,77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.1719457,6.908,False
1,2012-08-31,80.49,3.638,21442.73,102.32,21.7,13209.64,3032.96,222.3054805,6.908,False
1,2012-09-07,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.908,True
1,2012-09-14,74.97,3.717,17212.52,7.0,18.79,1523.11,7992.72,222.5820193,6.908,False
1,2012-09-21,69.87,3.721,6352.3,7.64,4.69,1010.06,6456.71,222.7818386,6.908,False
1,2012-09-28,76.08,3.666,3666.27,7.64,1.65,1417.96,4744.28,222.9816579,6.908,False
1,2012-10-05,68.55,3.617,8077.89,,18.22,3617.43,3626.14,223.1814772,6.573,False
1,2012-10-12,62.99,3.601,2086.18,,8.11,602.36,5926.45,223.3812965,6.573,False
1,2012-10-19,67.97,3.594,950.33,,4.93,80.25,2312.85,223.4257233,6.573,False
1,2012-10-26,69.16,3.506,2585.85,31.75,6.0,1057.16,1305.01,223.4442513,6.573,False
1,2012-11-02,55.32,3.386,6766.44,5147.7,50.82,3639.9,2737.42,223.4627793,6.573,False
1,2012-11-09,61.24,3.314,11421.32,3370.89,40.28,4646.79,6154.16,223.4813073,6.573,False
1,2012-11-16,52.92,3.252,9696.28,292.1,103.78,1133.15,6612.69,223.5129105,6.573,False
1,2012-11-23,56.23,3.211,883.59,4.17,74910.32,209.91,303.32,223.5619474,6.573,True
1,2012-11-30,52.34,3.207,2460.03,,3838.35,150.57,6966.34,223.6109842,6.573,False
1,2012-12-07,64.12,3.198,6343.16,,270.0,2928.9,10147.9,223.6600211,6.573,False
1,2012-12-14,48.89,3.168,3504.83,,73.26,1636.8,2779.6,223.7192767,6.573,False
1,2012-12-21,56.02,3.098,8231.71,,274.0,358.15,2834.02,223.8398455,6.573,False
1,2012-12-28,44.79,3.108,12659.55,37101.13,174.78,74.46,1208.86,223.9604143,6.573,True
1,2013-01-04,41.73,3.161,1214.08,25366.33,15.01,72.36,3940.02,224.080983,6.525,False
1,2013-01-11,50.32,3.243,6520.24,16134.6,12.17,774.55,4001.25,224.2015518,6.525,False
1,2013-01-18,42.92,3.237,3772.69,3559.46,3.88,246.62,1900.4,224.2358132,6.525,False
1,2013-01-25,53.37,3.227,965.89,1097.91,0.1,225.36,1831.88,224.2355518,6.525,False
1,2013-02-01,56.46,3.244,9290.91,1359.9,265.0,20657.82,972.61,224.2352903,6.525,False
1,2013-02-08,56.67,3.417,32355.16,729.8,280.89,20426.61,4671.78,224.2350289,6.525,True
1,2013-02-15,49.66,3.475,72937.29,6665.52,47.21,13014.67,6310.18,224.2760526,6.525,False
1,2013-02-22,50.25,3.597,20107.75,3163.89,42.2,15657.3,5812.86,224.4202895,6.525,False
1,2013-03-01,48.01,3.711,10610.74,261.46,2.8,25.54,2747.59,224.5645263,6.525,False
1,2013-03-08,50.81,3.658,5000.58,290.46,78.77,606.15,3697.11,224.7087632,6.525,False
1,2013-03-15,55.33,3.622,3808.13,,15.65,2616.6,1909.17,224.8356808,6.525,False
1,2013-03-22,63.42,3.611,12553.98,,495.1,6787.75,2545.66,224.9193005,6.525,False
1,2013-03-29,51.0,3.606,13067.46,,384.9,122.93,3903.8,225.0029202,6.525,False
1,2013-04-05,58.59,3.583,12872.34,5687.86,485.97,478.04,5092.33,225.0865399,6.314,False
1,2013-04-12,62.72,3.529,3672.43,932.58,52.86,949.07,2836.64,225.1701596,6.314,False
1,2013-04-19,67.1,3.451,3530.36,3.95,107.5,458.76,2062.05,225.1701596,6.314,False
1,2013-04-26,59.23,3.417,2387.72,,98.34,516.28,1421.63,225.1701596,6.314,False
1,2013-05-03,66.66,3.386,2298.63,2.0,129.9,55.46,1301.04,,,False
1,2013-05-10,63.9,3.392,4624.61,83.88,42.38,1618.31,8144.9,,,False
1,2013-05-17,69.53,3.454,16170.5,92.0,8.32,4127.24,6206.97,,,False
1,2013-05-24,77.19,3.494,7959.89,178.0,1621.47,3152.57,2938.7,,,False
1,2013-05-31,78.02,3.466,2369.77,142.45,475.35,45.55,2056.84,,,False
1,2013-06-07,76.44,3.439,3514.75,742.59,116.15,1015.44,5137.09,,,False
1,2013-06-14,79.86,3.431,12592.32,527.48,402.88,7474.56,2484.44,,,False
1,2013-06-21,81.35,3.479,8104.02,417.99,327.33,5182.25,3754.44,,,False
1,2013-06-28,83.94,3.495,4205.98,796.7,6.84,3816.78,4812.74,,,False
1,2013-07-05,79.85,3.422,7649.99,3503.29,1766.77,9454.96,1079.89,,,False
1,2013-07-12,83.12,3.4,6089.94,1362.42,209.62,2367.42,2651.05,,,False
1,2013-07-19,79.26,3.556,3117.04,1060.39,199.05,1012.3,5381.72,,,False
1,2013-07-26,81.54,3.62,332.17,673.19,1.0,38.63,1245.2,,,False
40,2011-10-28,42.09,3.604,,,,,,136.4884516,4.42,False
40,2011-11-04,35.4,3.586,,,,,,136.475129,4.42,False
40,2011-11-11,40.75,3.57,10215.77,4613.06,191.71,3200.57,4230.85,136.4618065,4.42,False
40,2011-11-18,41.85,3.571,1100.08,973.56,31.81,523.23,4424.36,136.4666667,4.42,False
40,2011-11-25,32.76,3.536,247.58,387.88,40362.07,47.0,1788.31,136.4788,4.42,True
40,2011-12-02,38.51,3.501,3966.04,23.47,2363.99,1455.15,15828.62,136.4909333,4.42,False
40,2011-12-09,34.48,3.47,7081.76,48.0,94.05,1757.4,6850.25,136.5030667,4.42,False
40,2011-12-16,29.53,3.445,3067.81,,383.98,409.64,2938.11,136.5335161,4.42,False
40,2011-12-23,24.46,3.413,709.32,0.03,1065.7,67.72,1336.25,136.5883871,4.42,False
40,2011-12-30,18.75,3.402,3392.38,25557.03,205.29,421.72,2439.13,136.6432581,4.42,True
40,2012-01-06,23.29,3.439,3737.24,20629.4,169.85,954.18,4508.45,136.698129,4.261,False
40,2012-01-13,25.9,3.523,1128.25,8721.23,129.34,393.68,3221.84,136.753,4.261,False
40,2012-01-20,14.02,3.542,1658.12,4319.36,101.86,79.54,1831.29,136.8564194,4.261,False
40,2012-01-27,22.91,3.568,388.59,1327.78,126.72,38.29,1619.57,136.9598387,4.261,False
40,2012-02-03,27.86,3.633,37980.28,2731.05,108.41,23597.14,5940.88,137.0632581,4.261,False
40,2012-02-10,23.92,3.655,10333.24,3700.62,66.01,11804.09,7697.87,137.1666774,4.261,True
40,2012-02-17,25.56,3.703,7763.37,7366.75,33.48,3995.44,2642.17,137.2583103,4.261,False
40,2012-02-24,29.88,3.751,15946.5,4605.02,2.0,4775.14,9418.31,137.3411034,4.261,False
40,2012-03-02,23.79,3.827,15284.47,1338.94,,14210.79,2121.92,137.4238966,4.261,False
40,2012-03-09,30.58,3.876,12923.38,404.23,0.4,7062.19,3420.25,137.5066897,4.261,False
40,2012-03-16,37.13,3.867,4935.36,176.82,3.85,1392.83,2458.54,137.5843871,4.261,False
40,2012-03-23,52.27,3.889,5767.41,126.67,2.77,179.94,3260.71,137.6552903,4.261,False
40,2012-03-30,36.25,3.921,7182.51,120.76,9.34,2017.53,2449.78,137.7261935,4.261,False
40,2012-04-06,36.54,3.957,9295.46,,43.35,1876.1,6042.42,137.7970968,4.125,False
40,2012-04-13,40.65,4.025,3668.82,4728.85,34.1,1320.78,1820.75,137.868,4.125,False
40,2012-04-20,55.3,4.046,3255.99,1157.63,25.59,340.56,3376.98,137.9230667,4.125,False
40,2012-04-27,47.51,4.023,2283.4,0.33,24.94,235.22,3113.29,137.9781333,4.125,False
40,2012-05-04,44.47,3.991,11685.51,,78.21,3129.14,3364.41,138.0332,4.125,False
40,2012-05-11,52.06,3.947,7071.55,,408.25,1175.76,4204.96,138.0882667,4.125,False
40,2012-05-18,57.59,3.899,4534.3,,103.83,735.81,2388.29,138.1065806,4.125,False
40,2012-05-25,65.25,3.85,8089.78,,303.31,1092.35,2448.8,138.1101935,4.125,False
40,2012-06-01,64.75,3.798,4641.39,30.6,50.93,420.22,1627.19,138.1138065,4.125,False
40,2012-06-08,55.78,3.746,7338.72,324.8,44.64,2067.65,7482.97,138.1174194,4.125,False
40,2012-06-15,63.39,3.683,5288.06,244.82,42.74,1165.96,3695.1,138.1295333,4.125,False
40,2012-06-22,69.32,3.629,5015.3,438.0,4.72,2018.54,7972.99,138.1629,4.125,False
40,2012-06-29,64.42,3.577,2925.88,253.2,,400.0,2124.37,138.1962667,4.125,False
40,2012-07-06,69.08,3.538,6364.53,277.2,62.07,2574.7,5230.46,138.2296333,4.156,False
40,2012-07-13,67.48,3.561,6891.02,80.4,23.66,1464.52,2677.19,138.263,4.156,False
40,2012-07-20,70.45,3.61,2418.7,89.01,9.52,1450.08,2263.49,138.2331935,4.156,False
40,2012-07-27,67.88,3.701,3351.06,156.53,4.24,1624.68,1605.34,138.2033871,4.156,False
40,2012-08-03,70.15,3.698,17749.81,377.88,6.36,8303.08,2209.27,138.1735806,4.156,False
40,2012-08-10,70.09,3.772,10965.65,130.69,0.32,4849.39,2266.63,138.1437742,4.156,False
40,2012-08-17,69.41,3.84,3810.18,27.3,1.02,181.12,6417.42,138.1857097,4.156,False
40,2012-08-24,63.91,3.874,6243.66,18.3,48.06,2649.7,6021.47,138.2814516,4.156,False
40,2012-08-31,66.11,3.884,10904.29,38.81,23.95,2684.17,2912.76,138.3771935,4.156,False
40,2012-09-07,65.06,3.921,5494.1,,39.66,925.8,3268.99,138.4729355,4.156,True
40,2012-09-14,59.38,3.988,5593.11,,62.88,290.65,7375.04,138.5673,4.156,False
40,2012-09-21,54.12,4.056,3688.63,7.64,,693.23,4870.36,138.6534,4.156,False
40,2012-09-28,50.98,4.018,3579.04,,,709.97,4706.12,138.7395,4.156,False
40,2012-10-05,57.21,4.027,4298.34,,12.03,1754.05,2273.79,138.8256,4.145,False
40,2012-10-12,47.35,4.029,1686.43,,13.85,589.97,6365.02,138.9117,4.145,False
40,2012-10-19,46.33,4.0,412.06,,6.1,38.76,2850.1,138.8336129,4.145,False
40,2012-10-26,49.65,3.917,3605.71,55.98,0.28,486.81,1389.06,138.7281613,4.145,False
40,2012-11-02,52.38,3.817,4763.33,9515.27,46.06,1439.36,1495.99,138.6227097,4.145,False
40,2012-11-09,34.19,3.792,3948.43,4885.8,,168.0,3180.34,138.5172581,4.145,False
40,2012-11-16,36.91,3.754,4930.23,1156.31,40.04,663.95,4493.04,138.4473,4.145,False
40,2012-11-23,29.93,3.727,572.8,,60367.16,50.88,2046.44,138.4246667,4.145,True
40,2012-11-30,26.96,3.713,2500.51,,3629.19,137.75,4472.88,138.4020333,4.145,False
40,2012-12-07,31.57,3.679,9053.91,,243.28,1070.89,5456.03,138.3794,4.145,False
40,2012-12-14,32.1,3.639,1143.93,,41.0,23.76,1247.18,138.3685484,4.145,False
40,2012-12-21,31.77,3.574,1729.06,130.42,82.07,23.84,4180.01,138.4283871,4.145,False
40,2012-12-28,23.54,3.56,9455.96,19951.08,149.44,6.94,2254.32,138.4882258,4.145,True
40,2013-01-04,10.13,3.577,2687.41,31425.65,2.6,,2729.63,138.5480645,3.932,False
40,2013-01-11,22.49,3.595,1271.06,12491.04,2.5,34.25,1155.19,138.6079032,3.932,False
40,2013-01-18,28.88,3.593,2622.04,3503.51,3.68,90.78,2943.16,138.6701613,3.932,False
40,2013-01-25,9.8,3.579,3602.9,1122.56,0.6,22.43,4893.31,138.7333871,3.932,False
40,2013-02-01,19.64,3.608,7317.46,727.29,244.4,10942.11,4768.43,138.7966129,3.932,False
40,2013-02-08,15.44,3.755,39257.29,615.07,131.92,25676.37,2592.77,138.8598387,3.932,True
40,2013-02-15,22.96,3.807,15949.59,2115.99,60.06,4676.18,4758.78,138.9004286,3.932,False
40,2013-02-22,21.28,3.866,9244.33,2551.72,5.7,4050.5,5822.12,138.8844286,3.932,False
40,2013-03-01,33.18,3.885,2229.33,54.92,,181.91,3241.55,138.8684286,3.932,False
40,2013-03-08,30.77,3.868,10872.53,124.06,23.11,1415.75,2725.28,138.8524286,3.932,False
40,2013-03-15,34.03,3.843,7586.97,,3.5,4040.62,2540.23,138.8597742,3.932,False
40,2013-03-22,23.88,3.819,7304.74,,381.1,1165.65,2170.95,138.9254839,3.932,False
40,2013-03-29,34.6,3.796,4709.35,,432.01,12.0,3696.08,138.9911935,3.932,False
40,2013-04-05,35.59,3.772,14110.29,5571.32,189.13,785.63,3892.09,139.0569032,3.684,False
40,2013-04-12,39.15,3.723,4934.33,3183.26,16.53,351.45,2203.32,139.1226129,3.684,False
40,2013-04-19,45.17,3.678,2322.79,1.59,20.1,133.68,1429.8,139.1226129,3.684,False
40,2013-04-26,44.43,3.626,1565.7,,42.99,44.44,1051.49,139.1226129,3.684,False
40,2013-05-03,54.09,3.601,4017.1,3.0,38.34,969.5,1746.41,,,False
40,2013-05-10,58.95,3.603,2940.02,108.0,103.66,1682.28,3583.38,,,False
40,2013-05-17,51.92,3.63,5483.84,251.0,6.18,677.62,4183.31,,,False
40,2013-05-24,57.87,3.654,2953.69,203.0,329.85,992.38,5144.3,,,False
40,2013-05-31,54.54,3.668,2616.09,231.07,112.1,,2573.6,,,False
40,2013-06-07,62.58,3.66,6457.95,466.9,56.18,2325.02,3102.25,,,False
40,2013-06-14,59.48,3.667,6955.21,360.52,282.44,2271.27,3919.71,,,False
40,2013-06-21,59.88,3.673,2108.31,391.33,232.8,3394.71,3314.68,,,False
40,2013-06-28,69.22,3.673,3892.57,594.13,5.0,2349.76,5587.5,,,False
40,2013-07-05,71.69,3.643,7457.06,1878.56,204.95,5000.48,2795.19,,,False
40,2013-07-12,71.82,3.645,2354.57,1440.95,57.23,1708.0,1281.55,,,False
40,2013-07-19,75.38,3.803,4340.79,1607.47,272.58,1540.36,2576.36,,,False
40,2013-07-26,66.9,3.879,145.1,1149.84,109.3,33.24,1116.3,,,False
